w2,l,z1,L,ngdl,nel,eta,R,file
217118.7392,4,0.1,14.999,3000,729,0.741611443,9.304639634,SiCube_l4_0_0_100_L_14_999.json
157427.1288,4,0.1,20.436,3000,729,0.860401471,12.6774862,SiCube_l4_0_0_100_L_20_436.json
125288.5906,4,0.1,25.884,3000,729,0.972193283,16.05715663,SiCube_l4_0_0_100_L_25_884.json
388048.479,4,0.1,9.566,3000,729,0.632322786,5.934274467,SiCube_l4_0_0_100_L_9_566.json
338202.4582,4,0.2,14.999,3000,729,0.925584659,9.304639634,SiCube_l4_0_0_200_L_14_999.json
220378.6177,4,0.2,20.436,3000,729,1.01799603,12.6774862,SiCube_l4_0_0_200_L_20_436.json
162359.5924,4,0.2,25.884,3000,729,1.106715087,16.05715663,SiCube_l4_0_0_200_L_25_884.json
693559.4377,4,0.2,9.566,3000,729,0.845352191,5.934274467,SiCube_l4_0_0_200_L_9_566.json
456052.2076,4,0.3,14.999,3000,729,1.074818293,9.304639634,SiCube_l4_0_0_300_L_14_999.json
280071.7078,4,0.3,20.436,3000,729,1.147614368,12.6774862,SiCube_l4_0_0_300_L_20_436.json
196946.1608,4,0.3,25.884,3000,729,1.21890712,16.05715663,SiCube_l4_0_0_300_L_25_884.json
997579.0733,4,0.3,9.566,3000,729,1.013840193,5.934274467,SiCube_l4_0_0_300_L_9_566.json
572918.8908,4,0.4,14.999,3000,729,1.20468732,9.304639634,SiCube_l4_0_0_400_L_14_999.json
338613.9809,4,0.4,20.436,3000,729,1.26186763,12.6774862,SiCube_l4_0_0_400_L_20_436.json
230535.6927,4,0.4,25.884,3000,729,1.318760533,16.05715663,SiCube_l4_0_0_400_L_25_884.json
1301200.406,4,0.4,9.566,3000,729,1.157891683,5.934274467,SiCube_l4_0_0_400_L_9_566.json
689358.194,4,0.5,14.999,3000,729,1.32144849,9.304639634,SiCube_l4_0_0_500_L_14_999.json
396617.187,4,0.5,20.436,3000,729,1.365674254,12.6774862,SiCube_l4_0_0_500_L_20_436.json
263621.9012,4,0.5,25.884,3000,729,1.410222365,16.05715663,SiCube_l4_0_0_500_L_25_884.json
1604658.077,4,0.5,9.566,3000,729,1.285840477,5.934274467,SiCube_l4_0_0_500_L_9_566.json
805573.447,4,0.6,14.999,3000,729,1.428500312,9.304639634,SiCube_l4_0_0_600_L_14_999.json
454324.7379,4,0.6,20.436,3000,729,1.461653899,12.6774862,SiCube_l4_0_0_600_L_20_436.json
296418.2433,4,0.6,25.884,3000,729,1.495372255,16.05715663,SiCube_l4_0_0_600_L_25_884.json
1908032.679,4,0.6,9.566,3000,729,1.402131492,5.934274467,SiCube_l4_0_0_600_L_9_566.json
921656.6656,4,0.7,14.999,3000,729,1.527961292,9.304639634,SiCube_l4_0_0_700_L_14_999.json
511852.676,4,0.7,20.436,3000,729,1.551435933,12.6774862,SiCube_l4_0_0_700_L_20_436.json
329032.3315,4,0.7,25.884,3000,729,1.57549178,16.05715663,SiCube_l4_0_0_700_L_25_884.json
2211359.351,4,0.7,9.566,3000,729,1.509473526,5.934274467,SiCube_l4_0_0_700_L_9_566.json
1037655.55,4,0.8,14.999,3000,729,1.621266372,9.304639634,SiCube_l4_0_0_800_L_14_999.json
569263.3458,4,0.8,20.436,3000,729,1.636130601,12.6774862,SiCube_l4_0_0_800_L_20_436.json
361524.3522,4,0.8,25.884,3000,729,1.651450772,16.05715663,SiCube_l4_0_0_800_L_25_884.json
2514655.862,4,0.8,9.566,3000,729,1.609663584,5.934274467,SiCube_l4_0_0_800_L_9_566.json
1153597.295,4,0.9,14.999,3000,729,1.709444017,9.304639634,SiCube_l4_0_0_900_L_14_999.json
626593.2324,4,0.9,20.436,3000,729,1.716541102,12.6774862,SiCube_l4_0_0_900_L_20_436.json
393930.6111,4,0.9,25.884,3000,729,1.723878761,16.05715663,SiCube_l4_0_0_900_L_25_884.json
2817932.166,4,0.9,9.566,3000,729,1.703966713,5.934274467,SiCube_l4_0_0_900_L_9_566.json
1269498.537,4,1,14.999,3000,729,1.793262515,9.304639634,SiCube_l4_0_1_000_L_14_999.json
683865.1089,4,1,20.436,3000,729,1.793273704,12.6774862,SiCube_l4_0_1_000_L_20_436.json
426274.3121,4,1,25.884,3000,729,1.79325246,16.05715663,SiCube_l4_0_1_000_L_25_884.json
3121194.268,4,1,9.566,3000,729,1.793313591,5.934274467,SiCube_l4_0_1_000_L_9_566.json
1358.831295,5,0,14.999,3000,729,0.05866925,9.304639634,SiCube_l5_0_0_000_L_14_999.json
2514.79658,5,0,20.436,3000,729,0.108745874,12.6774862,SiCube_l5_0_0_000_L_20_436.json
3752.3783,5,0,25.884,3000,729,0.168248097,16.05715663,SiCube_l5_0_0_000_L_25_884.json
554.7390156,5,0,9.566,3000,729,0.023907832,5.934274467,SiCube_l5_0_0_000_L_9_566.json
181525.4656,5,0.1,14.999,3000,729,0.678104377,9.304639634,SiCube_l5_0_0_100_L_14_999.json
126478.2552,5,0.1,20.436,3000,729,0.771204029,12.6774862,SiCube_l5_0_0_100_L_20_436.json
99457.51091,5,0.1,25.884,3000,729,0.866194949,16.05715663,SiCube_l5_0_0_100_L_25_884.json
353058.5605,5,0.1,9.566,3000,729,0.603141501,5.934274467,SiCube_l5_0_0_100_L_9_566.json
304362.7692,5,0.2,14.999,3000,729,0.878058662,9.304639634,SiCube_l5_0_0_200_L_14_999.json
191238.3916,5,0.2,20.436,3000,729,0.948306873,12.6774862,SiCube_l5_0_0_200_L_20_436.json
138606.7961,5,0.2,25.884,3000,729,1.022560745,16.05715663,SiCube_l5_0_0_200_L_25_884.json
661229.4273,5,0.2,9.566,3000,729,0.825414181,5.934274467,SiCube_l5_0_0_200_L_9_566.json
425636.2248,5,0.3,14.999,3000,729,1.038357871,9.304639634,SiCube_l5_0_0_300_L_14_999.json
253828.1649,5,0.3,20.436,3000,729,1.092524694,12.6774862,SiCube_l5_0_0_300_L_20_436.json
175690.2133,5,0.3,25.884,3000,729,1.15125264,16.05715663,SiCube_l5_0_0_300_L_25_884.json
968905.6909,5,0.3,9.566,3000,729,0.999163574,5.934274467,SiCube_l5_0_0_300_L_9_566.json
546469.7843,5,0.4,14.999,3000,729,1.176551237,9.304639634,SiCube_l5_0_0_400_L_14_999.json
315733.073,5,0.4,20.436,3000,729,1.218488389,12.6774862,SiCube_l5_0_0_400_L_20_436.json
212038.6663,5,0.4,25.884,3000,729,1.26474912,16.05715663,SiCube_l5_0_0_400_L_25_884.json
1276453.839,5,0.4,9.566,3000,729,1.146828287,5.934274467,SiCube_l5_0_0_400_L_9_566.json
667118.5895,5,0.5,14.999,3000,729,1.299957905,9.304639634,SiCube_l5_0_0_500_L_14_999.json
377334.9832,5,0.5,20.436,3000,729,1.33206339,12.6774862,SiCube_l5_0_0_500_L_20_436.json
248041.4856,5,0.5,25.884,3000,729,1.367914698,16.05715663,SiCube_l5_0_0_500_L_25_884.json
1583950.004,5,0.5,9.566,3000,729,1.277516665,5.934274467,SiCube_l5_0_0_500_L_9_566.json
